day	s1	s2	s3	s4	s5
2014-05-29	20	206	118	15	189
2014-05-30	16	210	122	12	194
2014-05-31	4	209	123	2	206
2014-06-01	8	213	124	5	205
2014-06-02	29	219	130	22	210
2014-06-03	20	231	137	14	215
2014-06-04	26	236	140	19	209
2014-06-05	24	243	145	16	222
2014-06-06	27	248	150	19	233
2014-06-07	6	238	144	4	237
2014-06-08	11	233	141	10	241
2014-06-09	27	253	151	21	240
2014-06-10	22	253	151	18	244
2014-06-11	21	253	156	15	242
2014-06-12	19	262	156	17	258
2014-06-13	15	273	160	11	260
2014-06-14	4	264	157	2	277
2014-06-15	3	255	152	2	273
2014-06-16	31	263	159	22	270
2014-06-17	14	260	158	12	276
2014-06-18	24	265	164	19	269
2014-06-19	23	269	168	19	276
2014-06-20	25	272	168	17	279
2014-06-21	5	259	160	3	283
2014-06-22	5	257	159	4	288
